preprocessamento,modelo,query_id,precision_at_10,recall_at_10,f1_at_10,ap,rr,ndcg_at_10
stemming,BM25,120,0.5,0.5555555555555556,0.5263157894736842,0.44687244932254,0.5,0.5024614293975009
stemming,Vetorial (TF-IDF),121,0.3,0.42857142857142855,0.3529411764705882,0.5222483398953988,1.0,0.4604800187509744
stemming,BM25,121,0.4,0.5714285714285714,0.47058823529411764,0.5128441451022095,0.5,0.5178516971509959
stemming,Vetorial (TF-IDF),122,0.2,0.2222222222222222,0.2105263157894737,0.17993420229748588,0.25,0.08077741092697005
stemming,BM25,122,0.2,0.2222222222222222,0.2105263157894737,0.1566331235724616,0.16666666666666666,0.06813125048970954
stemming,Vetorial (TF-IDF),123,0.1,0.5,0.16666666666666669,0.10714285714285714,0.16666666666666666,0.2507406824493034
stemming,BM25,123,0.0,0.0,0.0,0.07196969696969696,0.08333333333333333,0.0
stemming,Vetorial (TF-IDF),124,0.0,0.0,0.0,0.003648425801907295,0.0043859649122807015,0.0
stemming,BM25,124,0.0,0.0,0.0,0.003342075535885055,0.004166666666666667,0.0
stemming,Vetorial (TF-IDF),125,0.2,0.11764705882352941,0.14814814814814817,0.2775648074066751,1.0,0.30453285139313657
stemming,BM25,125,0.3,0.17647058823529413,0.22222222222222224,0.275999811942087,1.0,0.39916724164248263
stemming,Vetorial (TF-IDF),126,0.2,0.25,0.22222222222222224,0.16619740508369132,0.5,0.35571812677402137
stemming,BM25,126,0.2,0.25,0.22222222222222224,0.22308100515909288,1.0,0.4718040076989788
stemming,Vetorial (TF-IDF),127,0.1,0.2,0.13333333333333333,0.1708593322386426,0.5,0.18804762895303986
stemming,BM25,127,0.1,0.2,0.13333333333333333,0.1149135301309214,0.25,0.1283624763817471
stemming,Vetorial (TF-IDF),128,0.0,0.0,0.0,0.020420877751626747,0.03225806451612903,0.0
stemming,BM25,128,0.0,0.0,0.0,0.025094835132769184,0.043478260869565216,0.0
stemming,Vetorial (TF-IDF),129,0.3,0.42857142857142855,0.3529411764705882,0.2900334737069431,0.5,0.40522949802881075
stemming,BM25,129,0.4,0.5714285714285714,0.47058823529411764,0.4195349641493259,0.5,0.5498798600548418
stemming,Vetorial (TF-IDF),130,0.4,0.8,0.5333333333333333,0.4738325281803542,0.5,0.6126319711150736
stemming,BM25,130,0.4,0.8,0.5333333333333333,0.5563821138211382,1.0,0.7111343355049466
stemming,Vetorial (TF-IDF),131,0.2,0.25,0.22222222222222224,0.2821402190645612,0.14285714285714285,0.17371411448439267
stemming,BM25,131,0.2,0.25,0.22222222222222224,0.3105121304134462,0.16666666666666666,0.10703695270663816
stemming,Vetorial (TF-IDF),132,0.7,0.4666666666666667,0.56,0.6922306397306397,1.0,0.6414729300943207
stemming,BM25,132,0.8,0.5333333333333333,0.64,0.6898893698893699,0.5,0.5585159218199318
stemming,Vetorial (TF-IDF),133,0.1,0.14285714285714285,0.11764705882352941,0.2035703978561121,0.2,0.1658437712408864
stemming,BM25,133,0.4,0.5714285714285714,0.47058823529411764,0.29677871148459384,0.16666666666666666,0.37497370503425104
stemming,Vetorial (TF-IDF),134,0.1,0.5,0.16666666666666669,0.3088235294117647,0.5,0.2960819109658652
stemming,BM25,134,0.1,0.5,0.16666666666666669,0.29,0.5,0.2960819109658652
stemming,Vetorial (TF-IDF),135,0.4,0.5,0.4444444444444445,0.5823593073593073,1.0,0.33555178604667807
stemming,BM25,135,0.6,0.75,0.6666666666666665,0.7288690476190476,1.0,0.5926252128746972
stemming,Vetorial (TF-IDF),136,0.1,0.3333333333333333,0.15384615384615383,0.12657784011220197,0.25,0.33574933102415944
stemming,BM25,136,0.2,0.6666666666666666,0.30769230769230765,0.42740740740740746,1.0,0.838255482385076
stemming,Vetorial (TF-IDF),137,0.2,0.5,0.28571428571428575,0.2589285714285714,0.25,0.2495454391052197
stemming,BM25,137,0.2,0.5,0.28571428571428575,0.22785482258870565,0.5,0.30911702355641374
stemming,Vetorial (TF-IDF),138,0.1,0.5,0.16666666666666669,0.11142857142857143,0.14285714285714285,0.20438239758848611
stemming,BM25,138,0.1,0.5,0.16666666666666669,0.16346153846153846,0.25,0.2640681225725909
stemming,Vetorial (TF-IDF),139,0.0,0.0,0.0,0.006732348288221908,0.010101010101010102,0.0
stemming,BM25,139,0.0,0.0,0.0,0.009955675828567689,0.010526315789473684,0.0
