k1,b,query_id,ap,precision_at_10,ndcg_at_10
0.5,1.0,101,0.6646825396825397,0.5,0.7730534630646193
0.5,1.0,102,0.2540849673202614,0.2,0.2956181605409906
0.5,1.0,103,0.038461538461538464,0.0,0.0
0.5,1.0,104,0.184294676350866,0.1,0.21398626473452756
0.5,1.0,105,0.5433780760626398,0.3,0.7422329748991158
0.5,1.0,106,0.5402824858757063,0.3,0.7173999241783239
0.5,1.0,107,0.29555822692567996,0.3,0.3610386577792013
0.5,1.0,108,0.8219696969696969,0.5,0.7765927192533882
0.5,1.0,109,0.04209994462901439,0.0,0.0
0.5,1.0,110,0.1085664913991225,0.1,0.2514333090184516
0.5,1.0,111,0.27987958401751506,0.2,0.20121223985348807
0.5,1.0,112,0.2976190476190476,0.1,0.23981246656813146
0.5,1.0,113,0.09043004798818752,0.1,0.11284514134893527
0.5,1.0,114,0.08015951971860666,0.1,0.22216592739310984
0.5,1.0,115,0.04448105280252836,0.1,0.15814112524003557
0.5,1.0,116,0.044664957608602236,0.1,0.08876975478230018
0.5,1.0,117,0.03542319749216301,0.0,0.0
0.5,1.0,118,0.2538784067085954,0.2,0.4321106657033608
0.5,1.0,119,1.0,0.1,1.0
0.5,1.0,120,0.3691164499988029,0.4,0.4328416023998972
0.5,1.0,121,0.5138262322472849,0.5,0.5976620396026832
0.5,1.0,122,0.3284224700891367,0.5,0.29723707133129773
0.5,1.0,123,0.08888888888888888,0.0,0.0
0.5,1.0,124,0.004110038940997202,0.0,0.0
0.5,1.0,125,0.2351472110566718,0.3,0.3978421740343884
0.5,1.0,126,0.15644030290591812,0.2,0.35571812677402137
0.5,1.0,127,0.10504770762413732,0.1,0.1283624763817471
0.5,1.0,128,0.014016676250718804,0.0,0.0
0.5,1.0,129,0.40487394957983186,0.4,0.5391566041878113
0.5,1.0,130,0.39736559139784944,0.3,0.5420809621710582
0.5,1.0,131,0.2913284632034632,0.2,0.1046347043286389
0.5,1.0,132,0.6530172092555995,0.6,0.4538202765673086
0.5,1.0,133,0.4575428340672653,0.3,0.5014591476435348
0.5,1.0,134,0.2653846153846154,0.1,0.2960819109658652
0.5,1.0,135,0.5997535450660452,0.4,0.33175511024475374
0.5,1.0,136,0.47301587301587295,0.2,0.8490093211811799
0.5,1.0,137,0.21165565149415486,0.2,0.3044022171272382
0.5,1.0,138,0.15,0.1,0.2640681225725909
0.5,1.0,139,0.01053195691954912,0.0,0.0
0.5,1.0,140,0.19231531284868505,0.2,0.40473284377758784
0.5,1.0,141,0.1854825364693786,0.2,0.282270471629061
0.5,1.0,142,0.08333333333333333,0.0,0.0
0.5,1.0,143,0.7,0.2,0.8503449055347546
0.5,1.0,144,0.29884259259259255,0.4,0.4185118976728227
0.5,1.0,145,0.20816392041122503,0.3,0.2918287317262391
0.5,1.0,146,0.8333333333333333,0.2,0.7601875334318685
0.5,1.0,147,0.2867408367315316,0.4,0.43352529288116637
0.5,1.0,148,0.17875035212050336,0.2,0.31944460674615827
0.5,1.0,149,0.3396822705166969,0.3,0.3647442587311445
0.5,1.0,150,0.8333333333333333,0.2,0.9197207891481876
0.5,1.0,151,0.028161553828778794,0.0,0.0
0.5,1.0,152,0.016806917861000182,0.0,0.0
0.5,1.0,153,0.3268734620944307,0.3,0.3325382819409276
0.5,1.0,154,0.6666666666666666,0.2,0.7200194084720598
0.5,1.0,155,0.14026027077497663,0.1,0.1420364328899563
0.5,1.0,156,0.48179094601589295,0.7,0.5274879205399315
0.5,1.0,157,0.3206949845210473,0.3,0.37073340571389557
0.5,1.0,158,0.3804945054945055,0.3,0.6557285785338937
0.5,1.0,159,0.07140109567821819,0.2,0.12641338253655166
0.5,1.0,160,0.12012032536280826,0.1,0.24842742676916893
0.5,1.0,161,0.5260858098201194,0.3,0.7193068819147438
0.5,1.0,162,0.31504738962327405,0.2,0.254116659944446
0.5,1.0,163,0.27008547008547007,0.2,0.41618115554873086
0.5,1.0,164,0.4918054776021248,0.4,0.6427129006593434
0.5,1.0,165,0.5833333333333333,0.2,0.6934264036172708
0.5,1.0,166,0.03858128822245017,0.0,0.0
0.5,1.0,167,0.8333333333333333,0.2,0.9385574520455129
0.5,1.0,168,0.09774436090225563,0.1,0.20438239758848611
0.5,1.0,169,0.23832417582417578,0.2,0.36331756126716835
0.5,1.0,170,0.6176325106737477,0.4,0.751412262126836
0.5,1.0,171,0.6388888888888888,0.3,0.6757709465491791
0.5,1.0,172,0.8875,0.4,0.925248016143815
0.5,1.0,173,1.0,0.2,1.0
0.5,1.0,174,0.0607453720482619,0.1,0.13965347456008503
0.5,1.0,175,0.04770235074372581,0.1,0.10802328094530432
0.5,1.0,176,0.06628328133813856,0.1,0.10458082268679351
0.5,1.0,177,0.7,0.5,0.904363563836718
0.5,1.0,178,0.44658119658119655,0.2,0.7609829518290319
0.5,1.0,179,0.3286730276526194,0.2,0.44149241373678083
0.5,1.0,180,0.44497645211930925,0.3,0.33654056128817356
0.5,1.0,181,0.2591052016544429,0.1,0.24913276910075044
0.5,1.0,182,0.5833333333333333,0.2,0.66967181649423
0.5,1.0,183,0.5935666030983756,0.6,0.6032940473605599
0.5,1.0,184,0.3455764786591854,0.2,0.3437948514356465
0.5,1.0,185,0.75413377472201,0.6,0.7197431046892112
0.5,1.0,186,0.12049113323027183,0.2,0.1584091525685025
0.5,1.0,187,0.1667938542938543,0.2,0.2551032854918669
0.5,1.0,188,0.3989012937608019,0.5,0.5695953186160334
0.5,1.0,189,0.09157920280266084,0.1,0.06890628086592505
0.5,1.0,190,0.4821505875077303,0.2,0.46835315334527033
0.5,1.0,191,0.27542853133084333,0.3,0.18676340864064134
0.5,1.0,192,0.5048076923076923,0.3,0.6096199500078984
0.5,1.0,193,0.7988534840993857,0.6,0.7402769522254775
0.5,1.0,194,0.2055521638854972,0.2,0.2208115559881409
0.5,1.0,195,0.1259259259259259,0.1,0.20210734650054757
0.5,1.0,196,0.11521717247426204,0.3,0.2469105845119223
0.5,1.0,197,0.6081871345029239,0.2,0.6651640917528849
0.5,1.0,198,0.459575947167188,0.3,0.6654439405225756
0.5,1.0,199,0.10148632968443358,0.1,0.09576745329637855
0.5,1.0,200,0.21666666666666667,0.1,0.23463936301137825
0.5,1.0,201,0.32927455491633073,0.4,0.5659098008888342
0.5,1.0,202,0.19273925640670905,0.3,0.23844055664440297
